Agency,Avg Days Till Completion
New Paltz Town & Village Police Department,314 days 12:27:13.712293
New Port Richey Police Department,15 days 20:00:00
New Richmond Police Department,4 days 19:00:00
New Rochelle City Police Department,30 days 23:00:26.777957
New Shoreham Police Department,16 days 20:00:00
New Windsor Police Department,222 days 13:54:37.797323500
New York City Police Department,116 days 23:03:24.369621584
New York Mills Police,82 days 20:00:00
New York State Municipal Police Training Council,53 days 20:00:00
New York State Parks Police,35 days 09:01:17.376933
New York State Police,87 days 09:55:43.460287017
Newark Police Department,154 days 12:08:10.188014
Newaygo County Sheriff,334 days 01:01:41.667828
Newberry County Sheriff's Office,6 days 04:12:08.015074
Newburgh Police Department,134 days 13:57:19.395877
Newington Police Department,22 days 20:00:00
Newport Beach Police Department,23 days 07:36:23.659804750
Newport News Police,24 days 02:00:00
Newport News Police Department,2 days 20:00:00
Newport Police Department,5 days 14:00:00
Newton County Sheriff's Office,23 days 07:25:01.767708
Newton County Sheriffs Office,16 days 05:56:51.362969
Newton Police Department,298 days 19:51:41.565520936
Newtown Police Department,67 days 06:19:22.758152250
Nez Perce County Sheriff's Office,26 days 01:01:25.288788
Niagara County Sheriff,86 days 17:26:52.873825
Niles Police Department,124 days 05:19:49.553740500
Niles Police Department Illinois,16 days 07:00:34.337713353
Nissequogue Village Police Department,285 days 07:29:35.255029
Norcross Police Department,16 days 19:34:24.034769500
Norfolk County Sheriff's Office,583 days 09:45:50.546523312
Norfolk Police Department,21 days 21:59:16.477765769
Normal Police Department,7 days 20:00:00
Norman Police Department,33 days 18:57:26.812903666
Norristown Police Department,1213 days 07:26:56.876106
North Adams Police Department,14 days 13:17:55.134617500
North Andover Police Department,69 days 12:51:25.714285714
North Attleboro Police Department,32 days 03:10:16.848634200
North Carolina Department of Public Safety,55 days 08:52:06.789037468
North Carolina State University Police Department,55 days 07:30:00
North Charleston Police Department,45 days 18:48:05.326532307
North Greenbush Town Police Department,88 days 22:57:21.689392
North Haven Police,15 days 18:12:03.608763
North Hornell Village Police Department,288 days 14:09:45.290705
North Kingstown Police Department,25 days 08:00:00
North Little Rock Police Department,3 days 21:18:29.412091250
North Miami Beach Police Department,143 days 19:28:39.749968
North Miami Police Department,27 days 23:36:57.631870500
North Palm Beach Police Department,18 days 06:07:51.288125400
North Park Police Department,67 days 14:42:44.837681
North Providence Police Department,16 days 02:09:23.759215
North Reading Police Department,5 days 19:30:00
North Smithfield Police Department,0 days 20:00:00
Northampton County Sheriff,572 days 22:28:00
Northampton Police Department,535 days 10:32:19.348145416
Northeastern University Division of Public Safety,36 days 19:00:00
Northport Village Police Department,134 days 10:48:32.091830
Northumberland County Sheriffs PA,13 days 02:50:51.697287
Northville Village Police Department,12 days 13:44:14.001189
Northwest Lancaster County Regional Police,2 days 19:00:00
Norton police department,10 days 20:00:00
Norwalk Police Department,40 days 06:01:36.370480500
Norwalk Public Safety Office,5 days 19:00:00
Norwich City Police Department,116 days 18:49:45.713222
Norwood Police Department,12 days 15:30:00
Novato Police Department,174 days 04:33:00.387753290
Nueces County Sheriff,1 days 20:00:00
Nunda Town & Village Police Department,16 days 19:07:13.648639
Nye County Sheriff’s Office,10 days 09:40:15.426427500
O'Fallon Police Department,40 days 10:58:10.935841
Oak Bluffs Police Department (Martha's Vineyard),424 days 19:38:55.530081664
Oak Park Police Department,395 days 06:17:24.230073
Oakdale Police Department,27 days 03:26:13.473347
Oakland County Sheriff's Office,44 days 03:38:13.075567692
Oakland Police Department,227 days 06:25:47.296748652
Oakley Police Department,8 days 00:07:26.237839
Ocala Police Department,102 days 06:55:15.110658667
Ocean County Sheriff,20 days 18:58:49.098445500
Ocean Isle Police Department,5 days 20:59:11.130751
Oceana County Sheriff's Office,21 days 18:59:11.056509
Oceanside CA Police Department,29 days 13:05:38.507136083
Oconee County Sheriff's Office,7 days 20:25:21.583987333
Odessa Police Department,130 days 20:18:07.419507
"Office of the Attorney General, Department of Law and Public Safety",12 days 20:00:00
Office of the Police Monitor,87 days 17:18:17.327003
Office of the Sheriff,276 days 09:25:35.505746004
Office of the Sheriff - Contra Costa County,60 days 12:54:21.976837400
Ogden City Police Department,96 days 21:00:45.117672571
Ogle County Sheriff's Office,18 days 07:34:00.050867
Oglethorpe County Sheriff's Office,79 days 15:54:56.235415
Ohio Department of Public Safety,28 days 10:18:36.185198
Okaloosa County Sheriffs Office,4 days 08:00:00
Okaloosa County Sheriff’s Office,130 days 20:00:00
Okanogan County Sheriff's Office,11 days 12:58:09.708122
Okeechobee County Sheriff's Office,70 days 03:03:41.407208333
Oklahoma City Police Department,121 days 08:29:55.871313794
Oklahoma County Sheriff,23 days 08:29:53.195452400
Oklahoma Department of Public Safety,810 days 07:28:15.155773384
Olathe Police Department,125 days 14:38:33.991714144
Old Brookville Village Police Department,302 days 06:21:01.339484
Old Dominion University Police Department,136 days 20:00:00
Olean City Police Department,32 days 22:38:23.343931
Olympia Police Department,164 days 22:00:45.438215182
Omaha Police Department,58 days 23:47:10.115208640
Oneida County Sheriff,20 days 02:05:48.033965500
Oneida County Sheriff's Office,10 days 19:24:44.027794
Ontario County Sheriff,18 days 20:00:00
Ontario Police Department,41 days 17:08:52.934681545
Ontonagon County Sheriff,440 days 08:01:27.904414
Orange County Sheriff,10 days 20:00:00
Orange County Sheriff's Office,56 days 10:21:26.677368568
Orange Police Department,60 days 23:12:12.852295273
Orangeburg County Sheriff,36 days 20:00:00
Orangetown Town Police Department,63 days 09:16:25.027059667
Oregon State Police,68 days 18:20:25.793017470
Orem Police Department,6 days 19:10:41.115704
Orford Police Department,11 days 12:09:10.461422
Oriskany Village Police Department,25 days 09:12:34.749844
Orlando Police Department,52 days 10:04:21.931140157
Oro Valley Police,36 days 20:00:00
Osage Beach Police Department,20 days 13:01:25.289208
Osceola County Sheriff's Department,151 days 21:41:26.339550
"Oscoda County Sheriff, MI",0 days 16:35:16.216184
Ossining Village Police Department,330 days 06:46:48.521837
Oswego Police Department,15 days 20:00:00
Otero County Sheriff,104 days 08:41:00.147428
Otsego County Sheriff's Office,476 days 18:28:37.959498
Ottawa County Sheriff's Office,73 days 19:00:00
Otter Tail County Sheriff,0 days 20:00:00
Ouachita Parish Sheriff's Office,8 days 04:24:54.694608
Ouray County Sheriff's Office,62 days 19:56:14.787229500
Outagamie County Sheriff,4 days 07:18:03.852839500
Overland Park Police Department,61 days 13:10:22.252791
Overland Police Department,56 days 14:52:30.684889
Overton County Sheriff,20 days 06:22:07.358083
Owego Village Police Department,266 days 22:20:55.079177
Oxford County Sheriff's Office,83 days 19:40:00
Oxford Police Department,17 days 03:22:38.611430750
Oxnard Police Department,23 days 22:52:18.905195579
Ozark Police Department,17 days 08:45:19.174484
Ozaukee County Sheriff,0 days 20:00:00
Pacific Community Police Station,29 days 00:48:21.464428
Pacifica Police Department,21 days 09:40:50.023996250
Painted Post Village Police Department,74 days 06:03:12.899553
Palatine Police Department,2 days 07:58:35.574371
Palm Bay Police Department,146 days 01:49:57.252774
Palm Beach Gardens Police Department,449 days 20:17:03.341885504
Palm Beach Police Department,115 days 12:16:47.417286
Palm Beach Sheriff's Office,37 days 21:13:20.946272857
Palm Springs Police Department,21 days 20:58:03.630117
Palmdale Police Department,0 days 22:22:02.649631
Palmdale Public Safety,224 days 21:22:17.449720
Palmyra Village Police Department,362 days 09:52:48.249273
Palo Alto Police Department,60 days 11:16:57.273245450
Palos Verdes Estates Police Department,16 days 06:48:00.142360750
Panama City Police Department,147 days 20:00:00
Panola County Sheriff,0 days 20:00:00
Paoli Police Department,773 days 13:40:54.064633664
Paradise Police Department,41 days 18:30:55.185134
Paradise Valley Police Department,31 days 14:24:59.595086333
Park City Police Department,60 days 13:59:15.244457
Park Ridge Police Department,10 days 19:27:44.307529200
Parker County Sheriff's Office,14 days 20:00:00
Parma Police Department,26 days 21:21:25.714935
Pasadena Police Department,36 days 16:35:10.396336615
Pasco Police Department,49 days 06:26:43.008521250
Pasquotank County Sheriff,621 days 14:51:24.189816992
Passaic County Sheriff,20 days 18:00:56.556879
Paterson Police Department,47 days 00:10:02.172339
Paulding County Sheriff's Office,6 days 10:13:55.589847
Pawtucket Police Department,24 days 17:50:21.970414800
Payette County Sheriff's Office,19 days 19:52:59.733504
Payne County Sheriff,1126 days 00:56:00
Payson Police Department,440 days 20:00:00
Peabody Police Department,66 days 01:06:40
Peach County Sheriff's Office,41 days 21:46:23.281987333
Pearland Police Department,210 days 20:04:48.800648
Pembina County Sheriff's Office,22 days 18:11:47.477764
Pembroke Pines Police Department,218 days 11:23:44.288486332
Pembroke Police Department,53 days 19:18:26.397822
Penn Yan Village Police Department,32 days 22:11:19.713758
Pennsylvania State Police,54 days 00:24:51.515039680
Peoria County Sheriff,25 days 03:40:00
Peoria Police Department,38 days 09:32:39.391568
Perquimans County Sheriff's Office,5 days 22:00:27.470693
Perry County Sheriff's Department,138 days 12:30:09.378041
Perry County Sheriff's Office,87 days 11:23:42.410008500
Perry Village Police Department,10 days 22:10:17.949899
Perrysburg Police Department,605 days 04:14:20.343638
Person County Sheriff's Office,32 days 20:40:14.872464
Peru Police Department,56 days 17:23:03.256577
Petaluma Police Department,396 days 10:30:16.726649004
Pettis County Sheriff,1 days 20:00:00
Phelps Village Police Department,26 days 12:39:47.987079
Philadelphia Police Department,80 days 10:58:13.273808541
Philadelphia Sheriff's Office,65 days 07:28:57.379825600
Philadelphia Village Police Department,17 days 00:31:32.451757500
Phillips County Sheriff's Office,110 days 01:28:46.004185
Philmont Village Police Department,11 days 20:00:00
Phoenix Police Department,202 days 02:18:27.914006834
Phoenixville Police Department,391 days 08:01:00.881428
Piatt County Sheriff's Office,31 days 16:58:36.236489
Pickens County Sheriff's Office,83 days 21:08:08.798098
Piedmont Police Department,74 days 18:25:30.851109333
Pierce County Sheriff's Department,115 days 03:05:57.816073430
Pierce County Sheriff's Office,15 days 21:55:07.056691
Piermont Village Police Department,100 days 05:30:56.978116500
Pike County Sheriff,1 days 20:00:00
Pike County Sheriff's Office,56 days 17:11:09.513583750
Pima County Sheriff,55 days 09:54:34.819861500
"Pima County Sheriff's Department, Tuscon",51 days 19:35:10.183102500
Pinal County Sheriff's Office,27 days 12:15:18.008910500
Pine Lake Police Department,1 days 03:16:12.011383
Pine Plains Police Department,7 days 20:00:00
Pinellas County Sheriff's Office,17 days 06:52:52.279353625
Pinole Police Department,20 days 10:53:07.182981500
Piscataquis County Sheriff,439 days 07:19:17
Piscataway Police Department,27 days 14:05:48.313882
Pitkin County Sheriff's Office,40 days 19:18:30.662789250
Pitt County Sheriff,32 days 20:29:56.527881
Pittsburg County Sheriff's Office,35 days 20:00:00
Pittsburg Police Department,23 days 05:21:15.789462
Pittsburgh Bureau of Police,68 days 18:20:15.982454731
Pittsfield Police Department,21 days 20:06:50.347735300
Pittsfield Township Police Department,10 days 02:20:37.202764
Pittsylvania County Sheriff's Department (Virginia),8 days 19:00:00
Placentia Police Department,32 days 18:39:38.445709250
Placer County Sheriff,82 days 08:09:28.831705
Placerville Police Department,17 days 01:14:00.063603800
Plano Police Department,24 days 10:58:11.358826842
Plant City Police Department,26 days 07:02:30.694556
Plantation Police Department,28 days 09:04:48.747662
Plaquemines Parish Sheriff's Department,10 days 20:00:00
Platte County Sheriff's Office,76 days 20:11:02.608306
Plattsburgh Police Department,67 days 16:32:20.468368400
Pleasant Hill Police Department,33 days 04:53:39.990521500
Pleasanton Police Department,21 days 03:43:09.655339300
Pleasants County Sheriffs Dep,15 days 19:52:22.161935
Pleasantville Village Police Department,256 days 12:22:56.831600
Plumas County Sheriff,17 days 01:33:43.846674250
Plymouth County Sheriff's Department,28 days 06:38:00.786786222
Plymouth Police Department,43 days 10:49:48.573069
Poinsett County Sheriff's Office,76 days 19:50:27.906139
Pointe Coupee Parish Sheriff's Office,550 days 20:00:00
Police,47 days 18:23:26.786690617
Police - Manchester-by-the-sea,13 days 14:50:18.696991
Police Board,22 days 12:46:13.614822333
Police Department,27 days 16:05:23.472682085
"Police Department - Beverly, MA",7 days 20:00:00
Police Department Borough of Cliffside Park,307 days 03:28:13.026528
Polk County Sheriff,144 days 13:57:08.339860470
Pomona Police Department,64 days 13:45:04.282889600
Pompano Beach Police Department,13 days 08:00:00
Pontotoc County Sheriff's Department,12 days 10:48:37.362171
Pooler Police Department,65 days 19:48:46.868920
Pope County Sheriff's Office,69 days 02:31:44.123192500
Poplar Bluff Police Department,14 days 01:43:15.603960
Port Arthur Police Department,29 days 02:35:06.324256
Port Authority Police Department,302 days 19:00:00
Port Byron Village Police Department,155 days 04:07:20.219193500
Port Chester Police Department,107 days 19:00:00
Port Dickinson Village Police Department,85 days 21:08:42.378500667
Port Hueneme Police Department,22 days 20:30:28.356419
Port Jervis City Police Department,22 days 05:04:43.265670
Port Orchard Police Department,63 days 13:21:41.696947
Port St. Lucie Police Department,21 days 18:05:37.438289500
Port of Seattle Police Department,63 days 11:07:26.830889562
Portage Police Department,3 days 07:53:01.144876200
Porter County Sheriff,6 days 20:00:00
Porterdale Police Department,6 days 05:05:53.744194500
Porterville Police Department,9 days 19:00:00
Portland Police Bureau,221 days 17:15:46.930486084
Portland Police Department,41 days 09:51:05.735927200
Portsmouth Police Department,10 days 14:50:05.799367
Potsdam Village Police Department,154 days 12:16:14.967446
Pottawatomie County Sheriff,18 days 20:00:00
Pottawattamie County Sheriff,8 days 20:00:00
Poughkeepsie Police Department,204 days 23:22:18.239990
Pound Ridge Town Police Department,36 days 20:00:00
Poweshiek County Sheriff's Office,544 days 10:10:39.431236
Prairie Village Police Department,1 days 21:15:58.014761
Presidio Police Department,1161 days 23:56:00
Presque Isle County Sheriff's Office,13 days 01:07:50.341480
Preston County Sheriff's Department,14 days 20:00:00
Prince George's County Police Department,114 days 13:14:31.429266934
Prince George's County Sheriff Department,1117 days 10:01:27.761720
Prince William County Police,15 days 00:30:37.890038666
Prince William County Sheriff,19 days 20:00:00
Princeton Police Department,22 days 14:33:06.144267
Princeton Township Police Department,9 days 22:39:38.676771
Providence Police Department,50 days 15:52:51.511699903
Provincetown Police Department,41 days 20:13:01.472998
Provo Police Department,15 days 08:08:01.923011
Prowers County Sheriff,6 days 20:48:43.024697
Public Safety Department,18 days 08:15:17.528542
Pueblo County Sheriff's Office,728 days 14:52:06.136702
Pueblo Police Department,292 days 10:11:45.640632
Pulaski County Sheriff,241 days 23:51:10.947466
Pulaski Village Police Department,179 days 13:14:53.538104
Purcellville Police Department,0 days 14:46:44.741445
Putnam County Sheriff,381 days 04:37:37.012040332
Putnam County Sheriff's Office,14 days 06:30:44.354043500
Puyallup Police Department,3 days 03:19:55.417237
Queen Anne's County Sheriff,84 days 18:15:13.286137500
Queen Creek Police Department,560 days 01:58:40.381536
Quincy Police Department,24 days 03:53:10.912919736
"Quitman County Sheriff's Office, Quitman County",23 days 07:25:01.767708
Quogue Village Police Department,314 days 10:46:42.007441
Raleigh Police Department,122 days 08:58:15.886369190
Ramsey County Sheriff's Department,47 days 07:56:50.635536500
Randall County Sheriff,17 days 20:00:00
Randolph County Sheriff's Office,367 days 21:50:02.525433500
Randolph Police Department,12 days 01:45:00
Rankin County Sheriff's Department,11 days 08:19:55.013061
Rankin County Sheriff's Office,8 days 05:11:29.726505
Rapid City Police Department,177 days 07:52:18.335155286
Reading Police Department,68 days 08:26:23.890080900
Red Bluff Police Department,12 days 21:42:00.863833
Red Hook Village Police Department,136 days 20:00:00
"Red Lake County Sheriff's Office, Red Lake County",7 days 06:35:57.477764
Red River Parish Sheriff's Office,28 days 20:00:00
Redding Police Department,20 days 20:00:59.519835800
"Redford Township Police Department, Redford Township",2 days 21:37:11.775594
Redlands Police Department,25 days 13:36:53.928701909
Redondo Beach Police Department,56 days 02:27:15.865955
Redwood City Police Department,40 days 11:53:16.516084
Redwood Police Department,8 days 12:27:38.176778250
Rehoboth Beach Police Department,34 days 23:45:40.468249500
Rehoboth police department,14 days 08:00:00
Reno County Sheriff,1 days 20:00:00
Reno Police Department,143 days 13:48:12.934022288
Rensselaer County Sheriff,42 days 18:26:41.727366
Renton Police Department,129 days 16:31:12.281572250
Revere Police Department,493 days 21:48:38.494524456
Rhinebeck Village Police Department,307 days 11:36:34.193825
Rhode Island Capitol Police,8 days 21:06:50.327530
Rhode Island Department of Public Safety,30 days 02:34:17.142857143
Rhode Island State Police,28 days 02:13:27.329160500
Rialto Police Department,216 days 17:36:34.096080668
Richardson Police Department,6 days 18:12:31.629623
Richland County Sheriff's Department,19 days 20:00:00
Richland County Sheriff's Office,14 days 18:21:09.586868
Richmond City Sheriff's Office,0 days 20:00:00
Richmond Police Department,48 days 12:55:35.929091583
Ridgecrest Police Department,58 days 16:30:42.165601
Rindge Police Department,6 days 19:27:21.526053
Ringgold Police Department,33 days 19:00:00
Rio Blanco County Sheriff's Office,2 days 20:00:00
Rio Dell Police Department,9 days 23:24:58.684625
Rio Grande County Sheriff's Office,4 days 18:49:56.811844
Rio Rancho Police Department,20 days 19:28:40.814513
Ripon Police Department,13 days 08:44:24.221360
River Forest Police Department,12 days 19:17:08.571428571
River Rouge Police Department,48 days 20:00:00
Riverside County Sheriff,80 days 15:23:28.719726190
Riverside County Sheriffs Department,32 days 20:00:00
Riverside Police Department,113 days 12:45:31.196174250
Robeson County Sheriff,1073 days 14:50:40.205028
Rochester Police Department,94 days 21:12:44.785524078
Rock County Sheriff's Office,16 days 19:00:00
Rock Island County Sheriff,43 days 14:54:02.568295666
Rockbridge County Sheriff's Office,12 days 20:00:00
Rockford Police Department,27 days 01:28:10.960771200
Rockingham County Sheriff,18 days 11:10:48.686380333
Rockland County Sheriff,19 days 20:00:00
Rocklin Police Department,30 days 20:17:04.587815
Rockville Centre Village Police Department,7 days 04:58:08.937608
Rockville City Police Department,10 days 23:44:08.698325
Rockwall County Sheriff,19 days 20:00:00
Rogers County Sheriff,27 days 20:00:00
Rogersville Police Department,2 days 19:39:50.314864
Rome Police Department,38 days 07:00:00
Roosevelt Sheriff's Department,105 days 20:00:00
Roseville Police Department,35 days 20:43:38.435885363
Roswell Police Department,14 days 08:30:57.283631800
Round Lake Park Police Department,4 days 01:19:39.054974
Round Rock Police Department,29 days 11:57:44.406956143
Routt County Sheriff's Office,90 days 01:23:10.876341
Rowan County Sheriff's Office,192 days 19:00:00
Rowlett Police Department,133 days 11:26:31.328897
Roxbury Police Department,13 days 04:41:28.519937
Royal Oak Police Department,20 days 20:00:00
Rumson Police Department,1 days 11:15:35.023152
Russell County Sheriff,12 days 03:20:00
Rutgers University Police Department,9 days 20:34:16.612310
Rutherford County Sheriff,64 days 02:16:49.783505286
Rye Brook Village Police Department,267 days 14:15:56.605707
Sabine Parish Sheriff's Office,17 days 20:00:00
Sackets Harbor Village Police Department,82 days 20:32:17.000372
Sacramento County Sheriff,148 days 09:22:14.352433450
Sacramento County Sheriff's Department,355 days 16:21:13.054026628
Sacramento Police Department,199 days 15:05:54.645076882
Sacramento State Police Department,3 days 19:00:00
Sagadahoc County Sheriff,7 days 07:19:17
Saginaw County Sheriff's Office,20 days 08:34:49.753558500
Saginaw Police Department,25 days 19:00:00
Saguache County Sheriff's Office,42 days 14:24:10.465400
Saint Albans Police Department,43 days 17:02:36.384562
Saint Augustine Police Department,15 days 20:00:00
Saint Charles County Sheriff,59 days 09:04:50.607540
"Saint Clair Police Department, Saint Clair",37 days 23:26:00.420586
Saint Paul Police Department,20 days 18:08:07.516348133
Salamanca Police Department,70 days 07:01:38.587828
Salem County Sheriff,21 days 08:17:29.606079
Salem Police Department,58 days 18:20:50.731510859
Salem State University Police,587 days 16:50:09.095153504
Salina Police Department,70 days 12:39:14.422433500
Salinas Police Department,68 days 04:55:57.134431250
Saline County Sheriff's Office,527 days 04:51:46.998743504
Salisbury Police Department,7 days 02:46:36.686127
Salt Lake City Police Department,143 days 17:08:13.284683900
Salt Lake City Unified Police Department,17 days 20:00:00
Salt Lake County Sheriff's Office,13 days 22:54:05.295038
San Angelo Police Department,293 days 00:56:00
San Antonio Police Department,54 days 12:18:46.519389674
San Benito County Sheriff,48 days 20:14:51.610323333
San Bernardino County Sheriff,171 days 12:03:44.238177758
San Bernardino Police Department,68 days 19:54:03.945288750
San Carlos Police Department,10 days 18:13:16.175693
San Diego County Sheriff,31 days 04:01:28.833793384
San Diego County Sheriff's Department,38 days 13:07:36.785411875
San Diego Harbor Police Department,32 days 12:31:20.540748444
San Diego Police Department,36 days 22:06:05.734984420
San Francisco Police Commission,188 days 11:47:06.497706250
San Francisco Police Department,73 days 17:40:46.007620901
San Francisco Sheriff's Department,174 days 15:01:02.149155820
San Gabriel Police Department,18 days 14:37:18.447796
San Joaquin County Sheriff's Office,49 days 13:43:05.305041800
San Jose Police Department,73 days 03:49:00.936039933
San Juan County Sheriff,7 days 20:00:00
San Leandro Police Department,24 days 17:38:30.582673200
San Luis Obispo County Sheriff,70 days 04:30:32.778515
San Marino Police Department,43 days 14:48:48.051541
San Mateo County Sheriff’s Office,18 days 06:47:27.477083277
San Mateo Police Department,26 days 14:23:03.444123750
San Miguel County Sheriff,30 days 23:32:43.469419
San Pablo Police Department,39 days 03:07:09.221421
San Patricio County Sheriff,6 days 20:00:00
San Rafael Police Department,10 days 09:02:46.642270333
San Ramon Police Department,8 days 23:24:23.305137
Sands Point Village Police Department,94 days 20:27:39.185530
Sandusky Police Department,15 days 21:46:39.121671
Sandwich Police Department,5 days 02:08:13.150829
Sandy Springs Police Department,58 days 16:32:57.034679778
Sangamon County Sheriff's Office,3 days 08:00:00
Sangamon County Sheriff’s Office,21 days 14:17:42.834321
Sanilac County Sheriff's Department,5 days 20:00:00
Santa Ana Police Department,162 days 02:20:56.126761588
Santa Barbara County Sheriff's Office,34 days 04:18:35.236933285
Santa Clara County Sheriff,20 days 00:34:10.383585333
Santa Clara Police Department,49 days 08:45:44.934498714
Santa Clarita Police Department,494 days 16:16:12.603414504
Santa Cruz County Sheriff's Office,141 days 22:33:12.542750250
Santa Cruz Police Department,24 days 16:50:06.203936454
Santa Fe County Sheriff,45 days 17:24:41.875381
Santa Fe Police Department,192 days 15:58:34.269309376
Santa Maria Police Department,35 days 06:25:46.129236200
Santa Monica College Police Department,17 days 20:48:47.279755
Santa Monica Police Department,30 days 19:08:16.307619
Santa Paula Police Department,50 days 11:42:07.389108500
Santa Rosa County Sheriff's Office,42 days 16:16:56.629108500
Santa Rosa Police Department,42 days 06:57:56.341385727
Sarasota County Sheriff's Office,32 days 16:35:32.823327444
Sarasota Police Department,13 days 15:30:29.934763142
Saratoga County Sheriff,57 days 19:08:47.447474667
Saratoga Springs Police Department,21 days 20:00:00
Saugus Police Department,41 days 13:33:56.500043
Sauk County Sheriff,0 days 20:00:00
Sausalito Police Department,35 days 09:47:20.820184166
Savannah-Chatham Metropolitan Police Department,70 days 02:40:02.993991556
Sayre Police Department,3 days 20:00:00
Scarsdale Village Police Department,13 days 07:53:16.835982666
Schaumburg Police Department,6 days 19:00:00
Schenectady County Sheriff,17 days 05:09:24.475581
Schodack Town Police Department,306 days 04:45:32.556764
"Schoharie County Sheriff's Office, Howes Cave",21 days 10:53:00.972415
Schoharie Village Police Department,41 days 09:34:23.028613
Schoolcraft County Sheriff’s Office,19 days 17:19:56.451567
Schoolcraft Police Department,53 days 18:31:01.528221
Schuyler County Sheriff's Office,25 days 06:22:10.005564250
Scituate Police Department,160 days 14:56:08.256974334
Scotia Village Police Department,300 days 20:17:51.821760
Scott County Sheriff,42 days 17:13:28.606736500
Scott County Sheriff's Office,53 days 10:22:39.298762500
Scottsdale Police Department,634 days 14:50:36.287187400
Scranton Police Department,14 days 00:12:12.988650
Screven County Sheriffs Office,28 days 07:25:01.767708
Seaford Police Department,53 days 20:00:00
Seal Beach Police Department,65 days 18:02:55.922948667
Seattle Police Department,117 days 11:59:33.417632688
Sedgwick County Sheriff,65 days 21:17:07.397993
Sedgwick County Sheriff's Office,41 days 07:45:50.107098
Seekonk Police Department,3 days 07:51:36.952821
Seguin Police Department,41 days 01:04:18
Seminole County Sheriff,47 days 17:54:22.213175666
Seminole County Sheriff's Office,11 days 01:31:53.655445
Senatobia Police Department,16 days 20:00:00
Seneca Falls Village Police Department,253 days 13:08:45.299581
Seneca Police Department,491 days 20:00:00
Sequim Police Department,622 days 00:56:00
Sewickley Police Department,476 days 20:00:00
Shafter Police Department,19 days 20:00:00
Shandaken Town Police Department,200 days 14:55:52.265950500
Shasta County Sheriff,27 days 09:57:10.773838625
Shawano County Sheriff,4 days 20:00:00
Shawnee County Sheriff's Department,4 days 15:12:46.824475
Shawnee Police Department,3 days 23:39:37.391111
Sheboygan County Sheriff,1 days 20:00:00
Sheboygan Falls Police Department,65 days 04:06:24.205298667
Shelby County Sheriff,22 days 22:33:30.937993600
Shelby County Sheriff's Office,14 days 09:19:37.920157
Shelby Police Department,169 days 08:00:00
"Shelby Township Police Department, Shelby Township",29 days 04:36:55.073250
Shelbyville Police Department,11 days 19:00:00
Shelter Island Town Police Department,253 days 04:15:41.387647
Shenandoah Police Department,13 days 20:37:41.532842
Shepherdstown Police Department,88 days 00:55:59.293792667
Sherburne Village Police Department,330 days 08:40:37.665104
Sheriff,11 days 08:22:38.325492454
Sheriff's Department,42 days 23:27:11.326211750
Sheriff's Department  City Of La Mirada,7 days 11:05:39.082972
Sheriff's Office,89 days 00:53:00.514612768
Sheriff's Office FOIA,21 days 15:49:04.124249
"Sheriff's Office, Augusta-Richmond County, GA",256 days 17:12:47.349375
Shiawassee County Sheriff's Office,5 days 21:13:56.603054
Shirley Ma Police Department,49 days 16:45:04.172325
Shively Police Department,4 days 05:48:14.386922
Shortsville Village Police Department,167 days 10:58:05.116954
Shoshone County Sheriff's Office,94 days 20:17:25.556156
Shreveport Police Department,173 days 19:16:40.901631666
Shrewsbury Police Department,52 days 23:50:00
Sidney Village Police Department,42 days 10:56:20.569992
Sierra County Sheriff's Office,46 days 20:42:50.406408750
Sierra Vista Police Department,14 days 03:58:51.846642500
Signal Hill Police Department,10 days 12:12:47.293647
Siloam Springs Police Department,188 days 03:43:03.740953
Silver City Police,0 days 20:00:00
Silver Creek Village Police Department,292 days 04:44:21.062164
Simi Valley Police Department,155 days 10:18:28.159314698
Simmons College Police,193 days 19:00:00
Simsbury Police Department,11 days 19:00:00
Sioux Falls Police Department,80 days 07:22:24.473927286
Siskiyou County Sheriff,36 days 23:30:35.889207500
Sisseton Police Department,42 days 08:15:30.994822
Sisseton Wahpeton Oyate Police Department,111 days 18:56:53.692870
Skaneateles Village Police Department,179 days 08:40:49.232791
Skokie Police Department,18 days 22:03:56.697971500
Slatington Police Department,3 days 19:00:00
Smith County Sheriff's Department,137 days 14:54:58.556274
Smith County Sheriff's Office,16 days 20:00:00
Smithfield Police Department,11 days 13:38:26.767428200
Smyrna Police Department,193 days 12:49:19.975048334
Snohomish County Sheriff's Office,57 days 03:22:09.460260
Snoqualmie Police Department,15 days 00:48:00
Snowline Joint Unified School District Police Department,103 days 17:42:53.615912
Socorro County Sheriff's Office,28 days 21:55:02.590862
Soddy Daisy Police Department,85 days 20:00:00
Sodus Point Village Police Department,172 days 10:09:15.976263
Solano County Sheriff,13 days 15:22:28.760226500
Somers Town Police Department,341 days 06:37:35.271278
Somerset County Sheriff,10 days 18:06:19.495940
Somerset Police Department,61 days 20:00:00
Somerville Police Department,83 days 10:50:36.802978675
Sonoma County Sheriff's Office,19 days 09:57:10.046273500
Souderton Police Department,80 days 20:00:00
South Burlington Police Department,8 days 06:36:52.859664
South Dakota Department of Public Safety,19 days 21:47:24.323231583
South Fayette Township Police Department,1 days 20:00:00
"South Fulton Police Department, South Fulton",38 days 03:03:30.799855
South Gate Police Department,57 days 19:58:51.758148667
South Jordan Police Department,8 days 06:20:26.552559666
South Kingstown Police Department,1 days 20:00:00
