,Agency,Avg Days Till Completion
1567,Middlesex County Sheriff's Office,67 days 11:45:21.108976286
1568,Middleton Police Department,251 days 19:05:02.267858248
1569,Middletown Police Department,22 days 08:10:42.661862800
1570,Midland County Sheriff,22 days 22:17:20.377901400
1571,Midland Police Department,60 days 06:48:35.997288
1572,Midlothian Police Department,595 days 15:22:10.581592
1573,Midlothian Police Department TX,21 days 09:21:35.068100666
1574,Midway Police Department,15 days 11:05:23.199159
1575,Midwest City Police Department,17 days 16:05:37.582564
1576,Milford Police Department,21 days 04:39:31.865587700
1577,Mill Valley Police Department,20 days 01:44:46.789387857
1578,Millburn Police Department,13 days 11:07:54.729097
1579,Millcreek Police Department,149 days 15:54:41.838588
1580,Miller County Sheriffs Office,66 days 22:09:30.983511
1581,Millerton Village Police Department,39 days 15:25:49.243923
1582,Millis Police Department,134 days 20:00:00
1583,Millville Police Department,100 days 20:00:00
1584,Milpitas Police Department,27 days 22:29:41.830267
1585,Milton Police Department,86 days 19:36:52.323926585
1586,Milwaukee County Sheriff,97 days 23:23:31.500252429
1587,Milwaukee Police Department,73 days 22:04:48.698630917
1588,Mineral County Sheriff's Office,917 days 13:04:20.112136992
1589,Minneapolis Parks Police,30 days 03:56:01.120510
1590,Minneapolis Police Department,90 days 15:24:05.315087630
1591,Minnehaha County Sheriff,10 days 07:16:10.886218500
1592,Minnesota Department of Public Safety,102 days 11:40:00
1593,Minocqua Police Department,39 days 13:38:15.633709
1594,Minot Police Department,3 days 20:00:00
1595,Miramar Police Department,74 days 07:10:31.480407600
1596,Mississippi County Sheriff,0 days 20:00:00
1597,Mississippi Department of Public Safety,248 days 17:10:55.720307712
1598,Missoula County Sheriff,1184 days 00:56:00
1599,Missouri City Police Department,256 days 18:48:48.865260668
1600,Missouri Department of Public Safety,12 days 14:34:17.142857142
1601,Missouri Police Chiefs Association,14 days 11:05:23.199159
1602,Moberly Police Department,31 days 07:13:37.344218
1603,Mobile County Sheriff's Department,404 days 20:08:38.568138500
1604,Mobile Police Department,225 days 23:56:00
1605,Modesto Police Department,117 days 17:13:34.378503214
1606,Modoc County Sheriff,20 days 20:05:04.624043500
1607,Mohave County Sheriff's Office,31 days 20:00:00
1608,Monmouth County Sheriff’s Office,22 days 05:47:33.554261333
1609,Mono County Sheriff,13 days 07:42:06.813747
1610,Monongalia County Sheriff's Office,6 days 14:33:47.183726
1611,Monroe County Sheriff,29 days 00:58:38.402215666
1612,Monroe County Sheriff's Department,419 days 15:38:40.423093
1613,Monroe County Sheriff's Office,129 days 14:20:20.621852
1614,Monroe Police Department,264 days 22:16:28.410645
1615,Monroe Police Department Connecticut,8 days 16:34:58.009079
1616,Monroe Village Police Department,19 days 20:00:00
1617,Monrovia Police Department,18 days 14:26:38.568819333
1618,Montague Police Department,14 days 06:11:37.088867
1619,Montcalm County Sheriff,1 days 09:51:13.890334500
1620,Montebello Police Department,59 days 16:02:54.832570500
1621,Monterey County Sheriff’s Office,73 days 01:58:49.420962571
1622,Monterey Park Police Departmentt,12 days 08:09:50.198302
1623,Montgomery County Police Department,150 days 10:33:50.449837818
1624,Montgomery County Sheriff,112 days 21:35:33.964630332
1625,Montgomery County Sheriff's Department,20 days 23:30:34.934476
1626,Montgomery County Sheriff's Office,166 days 05:19:11.571120910
1627,"Montgomery County, Pa Sheriff's Office",55 days 22:29:10.250596
1628,"Montgomery County, TX Sheriff",55 days 03:03:42.149433
1629,Montgomery Police Department,466 days 12:44:26.843906008
1630,Monticello Village Police Department,50 days 23:38:57.924236
1631,Montmorency County Sheriff's Office,418 days 16:24:58.249630
1632,Montpelier Police Department,2 days 19:59:41.651527500
1633,Montrose County Sheriff's Office,0 days 20:00:00
1634,Montville Police Department,32 days 21:34:17.562944
1635,Montville Township Police Department,6 days 20:00:00
1636,Mooresville Police Department,10 days 19:14:19.593105
1637,Moravia village police department,59 days 21:48:54.557554500
1638,Morehouse Parish Sheriff's Office,83 days 12:02:19.878516
1639,Moreno Valley Police Department,85 days 06:59:32.217126
1640,Morgan County Sheriff,13 days 01:11:03.679041500
1641,Morgan County Sheriff's Office,148 days 05:14:19.225529200
1642,Morgan Hill Police Department,11 days 02:10:38.168576500
1643,Morgantown Police Department,43 days 23:34:55.825226
1644,Moriah Town Police Department,904 days 23:08:45.542796
1645,Morris County Sheriff,52 days 22:08:10.312700750
1646,Morristown New Jersey Bureau Of Police,47 days 01:18:42.091308
1647,Morton County Sheriff,133 days 04:17:08.571428572
1648,Morton Grove Police Department,41 days 01:24:36.959457166
1649,Morton Police Department,5 days 02:52:50.613100
1650,Moultonborough Police Department,8 days 23:00:46.427451
1651,Moultrie County Sheriff's Office,63 days 05:24:24.135340500
1652,Mounds View Police Department,5 days 11:38:52.486651
1653,Mount Hope Town Police Department,8 days 20:00:00
1654,Mount Morris Village Police Department,228 days 23:33:59.847562
1655,"Mount Olive Township Police Department, Budd Lake",27 days 23:31:40.471648
1656,Mount Pleasant Police Department,67 days 20:00:00
1657,Mount Prospect Police Department,19 days 09:39:25.940016142
1658,Mountain View Police Department,14 days 14:14:37.778339666
1659,Mower County Sheriff's Department,142 days 20:00:00
1660,"Mt Lebanon Police Department, Mt Lebanon",43 days 11:21:34.035997
1661,Mt Pleasant Police Department,13 days 20:00:00
1662,Mt. Shasta Police Department,11 days 20:30:24.559369
1663,Multnomah County Sheriff's Office,25 days 02:33:17.195453142
1664,Muncie Police Department,27 days 20:00:00
1665,Mundelein Police Department,56 days 22:20:23.134726
1666,Municipal Police Training Committee,521 days 20:29:07.796810752
1667,Munster Police Department,7 days 19:00:00
1668,Murfreesboro Police Department,297 days 20:00:00
1669,Murray County Sheriff's Office,116 days 13:17:17.133042500
1670,Murrieta Police Department,204 days 08:19:21.575347600
1671,Muscatine County Sheriff,1 days 20:00:00
1672,Muscogee County Sheriff,23 days 20:35:55.645699
1673,Muskegon County Sheriff,18 days 16:00:29.301471333
1674,Muskegon Police Department,12 days 06:21:36.655497500
1675,Muskogee County Sheriff,1136 days 00:56:00
1676,Muskogee Police Department,12 days 00:26:15.900400
1677,Myrtle Beach Police Department,30 days 20:00:00
1678,Nacogdoches County Sheriff,50 days 17:12:12.473925
1679,Nahant Police Department,5 days 19:00:00
1680,Nantucket County Sheriff’s Department,63 days 09:05:00.721461333
1681,Nantucket Police Department,20 days 19:17:38.047880166
1682,Napa County Sheriff,77 days 21:05:46.285500250
1683,Napa Police Department,25 days 06:06:13.037881750
1684,Naperville Police Department,88 days 12:59:40.986798444
1685,Narragansett Police Department,1 days 08:00:00
1686,Nash County Sheriff,55 days 03:30:47.203084
1687,Nashua Police Department,31 days 19:51:35.846226
1688,Nassau County Police Department,92 days 00:07:15.239396632
1689,Nassau County Sheriff,889 days 11:11:09.255816992
1690,Nassau County Sheriff's Office,106 days 19:25:41.551273
1691,Natick Police Department,11 days 16:51:42.117219545
1692,National City Police Department,116 days 20:35:06.804842500
1693,Navarro County Sheriff,0 days 20:00:00
1694,Needham Police Department,7 days 19:00:00
1695,Neshoba County Sheriff's Department,5 days 15:00:54.300039
1696,Nevada City Police Department,103 days 06:03:18.140650
1697,Nevada County Sheriff,21 days 16:48:53.131258800
1698,Nevada Department of Public Safety,45 days 15:48:43.636363636
1699,New Bedford Police Department,24 days 01:51:28.065833470
1700,New Berlin Police Department,34 days 20:00:00
1701,New Bern Police Department,23 days 11:07:08.475113
1702,New Brighton Public Safety,11 days 00:04:34.455864
1703,New Brunswick Police (New Jersey),32 days 09:30:15.990122
1704,New Castle County Police Department,23 days 19:47:30.343510461
1705,New Castle County Sheriff,0 days 20:00:00
1706,New Castle Police Department,516 days 23:56:00
1707,New Hampshire State Police,150 days 22:46:15.768820678
1708,New Hanover County Sheriff's Office,113 days 13:20:23.653067
1709,New Hartford Town Police Department,25 days 07:35:11.073527
1710,New Haven Police Department,198 days 02:18:24.252346752
1711,"New Jersey Department Of Law And Public Safety, Division Of Gaming Enforcement",234 days 05:56:55.227731
1712,New Jersey State Police,53 days 22:49:16.444892490
1713,New Lenox Police Department,3 days 17:07:46.661397
1714,New Mexico Department of Public Safety,85 days 04:00:00
1715,"New Mexico Department of Public Safety, Grants Management Bureau",45 days 20:00:00
1716,New Mexico State Police,111 days 13:28:10.970866258
1717,New Middletown Village Police Department,16 days 23:42:40.628223
1718,New Orleans Police Department,81 days 19:16:58.874150222
1719,New Paltz Town & Village Police Department,314 days 12:27:13.712293
1720,New Port Richey Police Department,15 days 20:00:00
1721,New Richmond Police Department,4 days 19:00:00
1722,New Rochelle City Police Department,30 days 23:00:26.777957
1723,New Shoreham Police Department,16 days 20:00:00
1724,New Windsor Police Department,222 days 13:54:37.797323500
1725,New York City Police Department,116 days 23:03:24.369621584
1726,New York Mills Police,82 days 20:00:00
1727,New York State Municipal Police Training Council,53 days 20:00:00
1728,New York State Parks Police,35 days 09:01:17.376933
1729,New York State Police,87 days 09:55:43.460287017
1730,Newark Police Department,154 days 12:08:10.188014
1731,Newaygo County Sheriff,334 days 01:01:41.667828
1732,Newberry County Sheriff's Office,6 days 04:12:08.015074
1733,Newburgh Police Department,134 days 13:57:19.395877
1734,Newington Police Department,22 days 20:00:00
1735,Newport Beach Police Department,23 days 07:36:23.659804750
1736,Newport News Police,24 days 02:00:00
1737,Newport News Police Department,2 days 20:00:00
1738,Newport Police Department,5 days 14:00:00
1739,Newton County Sheriff's Office,23 days 07:25:01.767708
1740,Newton County Sheriffs Office,16 days 05:56:51.362969
1741,Newton Police Department,298 days 19:51:41.565520936
1742,Newtown Police Department,67 days 06:19:22.758152250
1743,Nez Perce County Sheriff's Office,26 days 01:01:25.288788
1744,Niagara County Sheriff,86 days 17:26:52.873825
1745,Niles Police Department,124 days 05:19:49.553740500
1746,Niles Police Department Illinois,16 days 07:00:34.337713353
1747,Nissequogue Village Police Department,285 days 07:29:35.255029
1748,Norcross Police Department,16 days 19:34:24.034769500
1749,Norfolk County Sheriff's Office,583 days 09:45:50.546523312
1750,Norfolk Police Department,21 days 21:59:16.477765769
1751,Normal Police Department,7 days 20:00:00
1752,Norman Police Department,33 days 18:57:26.812903666
1753,Norristown Police Department,1213 days 07:26:56.876106
1754,North Adams Police Department,14 days 13:17:55.134617500
1755,North Andover Police Department,69 days 12:51:25.714285714
1756,North Attleboro Police Department,32 days 03:10:16.848634200
1757,North Carolina Department of Public Safety,55 days 08:52:06.789037468
1758,North Carolina State University Police Department,55 days 07:30:00
1759,North Charleston Police Department,45 days 18:48:05.326532307
1760,North Greenbush Town Police Department,88 days 22:57:21.689392
1761,North Haven Police,15 days 18:12:03.608763
1762,North Hornell Village Police Department,288 days 14:09:45.290705
1763,North Kingstown Police Department,25 days 08:00:00
1764,North Little Rock Police Department,3 days 21:18:29.412091250
1765,North Miami Beach Police Department,143 days 19:28:39.749968
1766,North Miami Police Department,27 days 23:36:57.631870500
1767,North Palm Beach Police Department,18 days 06:07:51.288125400
1768,North Park Police Department,67 days 14:42:44.837681
1769,North Providence Police Department,16 days 02:09:23.759215
1770,North Reading Police Department,5 days 19:30:00
1771,North Smithfield Police Department,0 days 20:00:00
1772,Northampton County Sheriff,572 days 22:28:00
1773,Northampton Police Department,535 days 10:32:19.348145416
1774,Northeastern University Division of Public Safety,36 days 19:00:00
1775,Northport Village Police Department,134 days 10:48:32.091830
1776,Northumberland County Sheriffs PA,13 days 02:50:51.697287
1777,Northville Village Police Department,12 days 13:44:14.001189
1778,Northwest Lancaster County Regional Police,2 days 19:00:00
1779,Norton police department,10 days 20:00:00
1780,Norwalk Police Department,40 days 06:01:36.370480500
1781,Norwalk Public Safety Office,5 days 19:00:00
1782,Norwich City Police Department,116 days 18:49:45.713222
1783,Norwood Police Department,12 days 15:30:00
1784,Novato Police Department,174 days 04:33:00.387753290
1785,Nueces County Sheriff,1 days 20:00:00
1786,Nunda Town & Village Police Department,16 days 19:07:13.648639
1787,Nye County Sheriff’s Office,10 days 09:40:15.426427500
1788,O'Fallon Police Department,40 days 10:58:10.935841
1789,Oak Bluffs Police Department (Martha's Vineyard),424 days 19:38:55.530081664
1790,Oak Park Police Department,395 days 06:17:24.230073
1791,Oakdale Police Department,27 days 03:26:13.473347
1792,Oakland County Sheriff's Office,44 days 03:38:13.075567692
1793,Oakland Police Department,227 days 06:25:47.296748652
1794,Oakley Police Department,8 days 00:07:26.237839
1795,Ocala Police Department,102 days 06:55:15.110658667
1796,Ocean County Sheriff,20 days 18:58:49.098445500
1797,Ocean Isle Police Department,5 days 20:59:11.130751
1798,Oceana County Sheriff's Office,21 days 18:59:11.056509
1799,Oceanside CA Police Department,29 days 13:05:38.507136083
1800,Oconee County Sheriff's Office,7 days 20:25:21.583987333
1801,Odessa Police Department,130 days 20:18:07.419507
1802,"Office of the Attorney General, Department of Law and Public Safety",12 days 20:00:00
1803,Office of the Police Monitor,87 days 17:18:17.327003
1804,Office of the Sheriff,276 days 09:25:35.505746004
1805,Office of the Sheriff - Contra Costa County,60 days 12:54:21.976837400
1806,Ogden City Police Department,96 days 21:00:45.117672571
1807,Ogle County Sheriff's Office,18 days 07:34:00.050867
1808,Oglethorpe County Sheriff's Office,79 days 15:54:56.235415
1809,Ohio Department of Public Safety,28 days 10:18:36.185198
1810,Okaloosa County Sheriffs Office,4 days 08:00:00
1811,Okaloosa County Sheriff’s Office,130 days 20:00:00
1812,Okanogan County Sheriff's Office,11 days 12:58:09.708122
1813,Okeechobee County Sheriff's Office,70 days 03:03:41.407208333
1814,Oklahoma City Police Department,121 days 08:29:55.871313794
1815,Oklahoma County Sheriff,23 days 08:29:53.195452400
1816,Oklahoma Department of Public Safety,810 days 07:28:15.155773384
1817,Olathe Police Department,125 days 14:38:33.991714144
1818,Old Brookville Village Police Department,302 days 06:21:01.339484
1819,Old Dominion University Police Department,136 days 20:00:00
1820,Olean City Police Department,32 days 22:38:23.343931
1821,Olympia Police Department,164 days 22:00:45.438215182
1822,Omaha Police Department,58 days 23:47:10.115208640
1823,Oneida County Sheriff,20 days 02:05:48.033965500
1824,Oneida County Sheriff's Office,10 days 19:24:44.027794
1825,Ontario County Sheriff,18 days 20:00:00
1826,Ontario Police Department,41 days 17:08:52.934681545
1827,Ontonagon County Sheriff,440 days 08:01:27.904414
1828,Orange County Sheriff,10 days 20:00:00
1829,Orange County Sheriff's Office,56 days 10:21:26.677368568
1830,Orange Police Department,60 days 23:12:12.852295273
1831,Orangeburg County Sheriff,36 days 20:00:00
1832,Orangetown Town Police Department,63 days 09:16:25.027059667
1833,Oregon State Police,68 days 18:20:25.793017470
1834,Orem Police Department,6 days 19:10:41.115704
1835,Orford Police Department,11 days 12:09:10.461422
1836,Oriskany Village Police Department,25 days 09:12:34.749844
1837,Orlando Police Department,52 days 10:04:21.931140157
1838,Oro Valley Police,36 days 20:00:00
1839,Osage Beach Police Department,20 days 13:01:25.289208
1840,Osceola County Sheriff's Department,151 days 21:41:26.339550
1841,"Oscoda County Sheriff, MI",0 days 16:35:16.216184
1842,Ossining Village Police Department,330 days 06:46:48.521837
1843,Oswego Police Department,15 days 20:00:00
1844,Otero County Sheriff,104 days 08:41:00.147428
1845,Otsego County Sheriff's Office,476 days 18:28:37.959498
1846,Ottawa County Sheriff's Office,73 days 19:00:00
1847,Otter Tail County Sheriff,0 days 20:00:00
1848,Ouachita Parish Sheriff's Office,8 days 04:24:54.694608
1849,Ouray County Sheriff's Office,62 days 19:56:14.787229500
1850,Outagamie County Sheriff,4 days 07:18:03.852839500
1851,Overland Park Police Department,61 days 13:10:22.252791
1852,Overland Police Department,56 days 14:52:30.684889
1853,Overton County Sheriff,20 days 06:22:07.358083
1854,Owego Village Police Department,266 days 22:20:55.079177
1855,Oxford County Sheriff's Office,83 days 19:40:00
1856,Oxford Police Department,17 days 03:22:38.611430750
1857,Oxnard Police Department,23 days 22:52:18.905195579
1858,Ozark Police Department,17 days 08:45:19.174484
1859,Ozaukee County Sheriff,0 days 20:00:00
1860,Pacific Community Police Station,29 days 00:48:21.464428
1861,Pacifica Police Department,21 days 09:40:50.023996250
1862,Painted Post Village Police Department,74 days 06:03:12.899553
1863,Palatine Police Department,2 days 07:58:35.574371
1864,Palm Bay Police Department,146 days 01:49:57.252774
1865,Palm Beach Gardens Police Department,449 days 20:17:03.341885504
1866,Palm Beach Police Department,115 days 12:16:47.417286
1867,Palm Beach Sheriff's Office,37 days 21:13:20.946272857
1868,Palm Springs Police Department,21 days 20:58:03.630117
1869,Palmdale Police Department,0 days 22:22:02.649631
1870,Palmdale Public Safety,224 days 21:22:17.449720
1871,Palmyra Village Police Department,362 days 09:52:48.249273
1872,Palo Alto Police Department,60 days 11:16:57.273245450
1873,Palos Verdes Estates Police Department,16 days 06:48:00.142360750
1874,Panama City Police Department,147 days 20:00:00
1875,Panola County Sheriff,0 days 20:00:00
1876,Paoli Police Department,773 days 13:40:54.064633664
1877,Paradise Police Department,41 days 18:30:55.185134
1878,Paradise Valley Police Department,31 days 14:24:59.595086333
1879,Park City Police Department,60 days 13:59:15.244457
1880,Park Ridge Police Department,10 days 19:27:44.307529200
1881,Parker County Sheriff's Office,14 days 20:00:00
1882,Parma Police Department,26 days 21:21:25.714935
1883,Pasadena Police Department,36 days 16:35:10.396336615
1884,Pasco Police Department,49 days 06:26:43.008521250
1885,Pasquotank County Sheriff,621 days 14:51:24.189816992
1886,Passaic County Sheriff,20 days 18:00:56.556879
1887,Paterson Police Department,47 days 00:10:02.172339
1888,Paulding County Sheriff's Office,6 days 10:13:55.589847
1889,Pawtucket Police Department,24 days 17:50:21.970414800
1890,Payette County Sheriff's Office,19 days 19:52:59.733504
1891,Payne County Sheriff,1126 days 00:56:00
1892,Payson Police Department,440 days 20:00:00
1893,Peabody Police Department,66 days 01:06:40
1894,Peach County Sheriff's Office,41 days 21:46:23.281987333
1895,Pearland Police Department,210 days 20:04:48.800648
1896,Pembina County Sheriff's Office,22 days 18:11:47.477764
1897,Pembroke Pines Police Department,218 days 11:23:44.288486332
1898,Pembroke Police Department,53 days 19:18:26.397822
1899,Penn Yan Village Police Department,32 days 22:11:19.713758
1900,Pennsylvania State Police,54 days 00:24:51.515039680
1901,Peoria County Sheriff,25 days 03:40:00
1902,Peoria Police Department,38 days 09:32:39.391568
1903,Perquimans County Sheriff's Office,5 days 22:00:27.470693
1904,Perry County Sheriff's Department,138 days 12:30:09.378041
1905,Perry County Sheriff's Office,87 days 11:23:42.410008500
1906,Perry Village Police Department,10 days 22:10:17.949899
1907,Perrysburg Police Department,605 days 04:14:20.343638
1908,Person County Sheriff's Office,32 days 20:40:14.872464
1909,Peru Police Department,56 days 17:23:03.256577
1910,Petaluma Police Department,396 days 10:30:16.726649004
1911,Pettis County Sheriff,1 days 20:00:00
1912,Phelps Village Police Department,26 days 12:39:47.987079
1913,Philadelphia Police Department,80 days 10:58:13.273808541
1914,Philadelphia Sheriff's Office,65 days 07:28:57.379825600
1915,Philadelphia Village Police Department,17 days 00:31:32.451757500
1916,Phillips County Sheriff's Office,110 days 01:28:46.004185
1917,Philmont Village Police Department,11 days 20:00:00
1918,Phoenix Police Department,202 days 02:18:27.914006834
1919,Phoenixville Police Department,391 days 08:01:00.881428
1920,Piatt County Sheriff's Office,31 days 16:58:36.236489
1921,Pickens County Sheriff's Office,83 days 21:08:08.798098
1922,Piedmont Police Department,74 days 18:25:30.851109333
1923,Pierce County Sheriff's Department,115 days 03:05:57.816073430
1924,Pierce County Sheriff's Office,15 days 21:55:07.056691
1925,Piermont Village Police Department,100 days 05:30:56.978116500
1926,Pike County Sheriff,1 days 20:00:00
1927,Pike County Sheriff's Office,56 days 17:11:09.513583750
1928,Pima County Sheriff,55 days 09:54:34.819861500
1929,"Pima County Sheriff's Department, Tuscon",51 days 19:35:10.183102500
1930,Pinal County Sheriff's Office,27 days 12:15:18.008910500
1931,Pine Lake Police Department,1 days 03:16:12.011383
1932,Pine Plains Police Department,7 days 20:00:00
1933,Pinellas County Sheriff's Office,17 days 06:52:52.279353625
1934,Pinole Police Department,20 days 10:53:07.182981500
1935,Piscataquis County Sheriff,439 days 07:19:17
1936,Piscataway Police Department,27 days 14:05:48.313882
1937,Pitkin County Sheriff's Office,40 days 19:18:30.662789250
1938,Pitt County Sheriff,32 days 20:29:56.527881
1939,Pittsburg County Sheriff's Office,35 days 20:00:00
1940,Pittsburg Police Department,23 days 05:21:15.789462
1941,Pittsburgh Bureau of Police,68 days 18:20:15.982454731
1942,Pittsfield Police Department,21 days 20:06:50.347735300
1943,Pittsfield Township Police Department,10 days 02:20:37.202764
1944,Pittsylvania County Sheriff's Department (Virginia),8 days 19:00:00
1945,Placentia Police Department,32 days 18:39:38.445709250
1946,Placer County Sheriff,82 days 08:09:28.831705
1947,Placerville Police Department,17 days 01:14:00.063603800
1948,Plano Police Department,24 days 10:58:11.358826842
1949,Plant City Police Department,26 days 07:02:30.694556
1950,Plantation Police Department,28 days 09:04:48.747662
1951,Plaquemines Parish Sheriff's Department,10 days 20:00:00
1952,Platte County Sheriff's Office,76 days 20:11:02.608306
1953,Plattsburgh Police Department,67 days 16:32:20.468368400
1954,Pleasant Hill Police Department,33 days 04:53:39.990521500
1955,Pleasanton Police Department,21 days 03:43:09.655339300
1956,Pleasants County Sheriffs Dep,15 days 19:52:22.161935
1957,Pleasantville Village Police Department,256 days 12:22:56.831600
1958,Plumas County Sheriff,17 days 01:33:43.846674250
1959,Plymouth County Sheriff's Department,28 days 06:38:00.786786222
1960,Plymouth Police Department,43 days 10:49:48.573069
1961,Poinsett County Sheriff's Office,76 days 19:50:27.906139
1962,Pointe Coupee Parish Sheriff's Office,550 days 20:00:00
1963,Police,47 days 18:23:26.786690617
1964,Police - Manchester-by-the-sea,13 days 14:50:18.696991
1965,Police Board,22 days 12:46:13.614822333
1966,Police Department,27 days 16:05:23.472682085
1967,"Police Department - Beverly, MA",7 days 20:00:00
1968,Police Department Borough of Cliffside Park,307 days 03:28:13.026528
1969,Polk County Sheriff,144 days 13:57:08.339860470
1970,Pomona Police Department,64 days 13:45:04.282889600
1971,Pompano Beach Police Department,13 days 08:00:00
1972,Pontotoc County Sheriff's Department,12 days 10:48:37.362171
1973,Pooler Police Department,65 days 19:48:46.868920
1974,Pope County Sheriff's Office,69 days 02:31:44.123192500
1975,Poplar Bluff Police Department,14 days 01:43:15.603960
1976,Port Arthur Police Department,29 days 02:35:06.324256
1977,Port Authority Police Department,302 days 19:00:00
1978,Port Byron Village Police Department,155 days 04:07:20.219193500
1979,Port Chester Police Department,107 days 19:00:00
1980,Port Dickinson Village Police Department,85 days 21:08:42.378500667
1981,Port Hueneme Police Department,22 days 20:30:28.356419
1982,Port Jervis City Police Department,22 days 05:04:43.265670
1983,Port Orchard Police Department,63 days 13:21:41.696947
1984,Port St. Lucie Police Department,21 days 18:05:37.438289500
1985,Port of Seattle Police Department,63 days 11:07:26.830889562
1986,Portage Police Department,3 days 07:53:01.144876200
1987,Porter County Sheriff,6 days 20:00:00
1988,Porterdale Police Department,6 days 05:05:53.744194500
1989,Porterville Police Department,9 days 19:00:00
1990,Portland Police Bureau,221 days 17:15:46.930486084
1991,Portland Police Department,41 days 09:51:05.735927200
1992,Portsmouth Police Department,10 days 14:50:05.799367
1993,Potsdam Village Police Department,154 days 12:16:14.967446
1994,Pottawatomie County Sheriff,18 days 20:00:00
1995,Pottawattamie County Sheriff,8 days 20:00:00
1996,Poughkeepsie Police Department,204 days 23:22:18.239990
1997,Pound Ridge Town Police Department,36 days 20:00:00
1998,Poweshiek County Sheriff's Office,544 days 10:10:39.431236
1999,Prairie Village Police Department,1 days 21:15:58.014761
2000,Presidio Police Department,1161 days 23:56:00
2001,Presque Isle County Sheriff's Office,13 days 01:07:50.341480
2002,Preston County Sheriff's Department,14 days 20:00:00
2003,Prince George's County Police Department,114 days 13:14:31.429266934
2004,Prince George's County Sheriff Department,1117 days 10:01:27.761720
2005,Prince William County Police,15 days 00:30:37.890038666
2006,Prince William County Sheriff,19 days 20:00:00
2007,Princeton Police Department,22 days 14:33:06.144267
2008,Princeton Township Police Department,9 days 22:39:38.676771
2009,Providence Police Department,50 days 15:52:51.511699903
2010,Provincetown Police Department,41 days 20:13:01.472998
2011,Provo Police Department,15 days 08:08:01.923011
2012,Prowers County Sheriff,6 days 20:48:43.024697
2013,Public Safety Department,18 days 08:15:17.528542
2014,Pueblo County Sheriff's Office,728 days 14:52:06.136702
2015,Pueblo Police Department,292 days 10:11:45.640632
2016,Pulaski County Sheriff,241 days 23:51:10.947466
2017,Pulaski Village Police Department,179 days 13:14:53.538104
2018,Purcellville Police Department,0 days 14:46:44.741445
2019,Putnam County Sheriff,381 days 04:37:37.012040332
2020,Putnam County Sheriff's Office,14 days 06:30:44.354043500
2021,Puyallup Police Department,3 days 03:19:55.417237
2022,Queen Anne's County Sheriff,84 days 18:15:13.286137500
2023,Queen Creek Police Department,560 days 01:58:40.381536
2024,Quincy Police Department,24 days 03:53:10.912919736
2025,"Quitman County Sheriff's Office, Quitman County",23 days 07:25:01.767708
2026,Quogue Village Police Department,314 days 10:46:42.007441
2027,Raleigh Police Department,122 days 08:58:15.886369190
2028,Ramsey County Sheriff's Department,47 days 07:56:50.635536500
2029,Randall County Sheriff,17 days 20:00:00
2030,Randolph County Sheriff's Office,367 days 21:50:02.525433500
2031,Randolph Police Department,12 days 01:45:00
2032,Rankin County Sheriff's Department,11 days 08:19:55.013061
2033,Rankin County Sheriff's Office,8 days 05:11:29.726505
2034,Rapid City Police Department,177 days 07:52:18.335155286
2035,Reading Police Department,68 days 08:26:23.890080900
2036,Red Bluff Police Department,12 days 21:42:00.863833
2037,Red Hook Village Police Department,136 days 20:00:00
2038,"Red Lake County Sheriff's Office, Red Lake County",7 days 06:35:57.477764
2039,Red River Parish Sheriff's Office,28 days 20:00:00
2040,Redding Police Department,20 days 20:00:59.519835800
2041,"Redford Township Police Department, Redford Township",2 days 21:37:11.775594
2042,Redlands Police Department,25 days 13:36:53.928701909
2043,Redondo Beach Police Department,56 days 02:27:15.865955
2044,Redwood City Police Department,40 days 11:53:16.516084
2045,Redwood Police Department,8 days 12:27:38.176778250
2046,Rehoboth Beach Police Department,34 days 23:45:40.468249500
2047,Rehoboth police department,14 days 08:00:00
2048,Reno County Sheriff,1 days 20:00:00
2049,Reno Police Department,143 days 13:48:12.934022288
2050,Rensselaer County Sheriff,42 days 18:26:41.727366
2051,Renton Police Department,129 days 16:31:12.281572250
2052,Revere Police Department,493 days 21:48:38.494524456
2053,Rhinebeck Village Police Department,307 days 11:36:34.193825
2054,Rhode Island Capitol Police,8 days 21:06:50.327530
2055,Rhode Island Department of Public Safety,30 days 02:34:17.142857143
2056,Rhode Island State Police,28 days 02:13:27.329160500
2057,Rialto Police Department,216 days 17:36:34.096080668
2058,Richardson Police Department,6 days 18:12:31.629623
2059,Richland County Sheriff's Department,19 days 20:00:00
2060,Richland County Sheriff's Office,14 days 18:21:09.586868
2061,Richmond City Sheriff's Office,0 days 20:00:00
2062,Richmond Police Department,48 days 12:55:35.929091583
2063,Ridgecrest Police Department,58 days 16:30:42.165601
2064,Rindge Police Department,6 days 19:27:21.526053
2065,Ringgold Police Department,33 days 19:00:00
2066,Rio Blanco County Sheriff's Office,2 days 20:00:00
2067,Rio Dell Police Department,9 days 23:24:58.684625
2068,Rio Grande County Sheriff's Office,4 days 18:49:56.811844
2069,Rio Rancho Police Department,20 days 19:28:40.814513
2070,Ripon Police Department,13 days 08:44:24.221360
2071,River Forest Police Department,12 days 19:17:08.571428571
2072,River Rouge Police Department,48 days 20:00:00
2073,Riverside County Sheriff,80 days 15:23:28.719726190
2074,Riverside County Sheriffs Department,32 days 20:00:00
2075,Riverside Police Department,113 days 12:45:31.196174250
2076,Robeson County Sheriff,1073 days 14:50:40.205028
2077,Rochester Police Department,94 days 21:12:44.785524078
