,Agency,Requests Received
930,Narragansett Police Department,4
931,Brookfield Police Department,4
932,Scarsdale Village Police Department,4
933,Sussex County Sheriff,4
934,Municipal Police Training Committee,4
935,Mono County Sheriff,4
936,Sutter County Sheriff's Office,4
937,Whatcom County Sheriff's Office,4
938,Hermosa Beach Police Department,4
939,Salt Lake City Unified Police Department,4
940,Russell County Sheriff,4
941,Colusa County Sheriff's Office,4
942,Broome County Sheriff,4
943,Galt Police Department,4
944,Rowan County Sheriff's Office,4
945,New Britain Police Department,4
946,Bergen County Sheriff's Office (NJ),4
947,Wichita Falls Police Department,4
948,Kennett Square Police Department,4
949,Tehama County Sheriff's Office,4
950,Jackson County Sheriff’s Office,4
951,Marion County Sheriffs Office,4
952,Foster Police Department,4
953,Kennesaw Police Department,4
954,Morris County Sheriff,4
955,Newport Beach Police Department,4
956,Richland Police Department,4
957,Costa Mesa Police Department,4
958,Riley County Police Department,4
959,Eden Police Department,4
960,Mineral County Sheriff's Office,4
961,Massachusetts Executive Office of Public Safety and Security - Office of the Chief Medical Examiner,4
962,Seneca Falls Village Police Department,4
963,Hillsboro Police Department,4
964,West Hartford Police Department,4
965,"Keller, TX Police Department",4
966,West Greenwich Police Department,4
967,San Rafael Police Department,4
968,Fairbanks Police Department,4
969,Newtown Police Department,4
970,San Miguel County Sheriff,4
971,Winnemucca Police Department,3
972,Marshall Police Department,3
973,Alexandria City Firefighters' & Police Officers' Retirement System,3
974,Asotin County Police Department,3
975,Custer County Sheriff,3
976,Cypress Police Department,3
977,Otero County Sheriff,3
978,Marion County Sheriff,3
979,Moreno Valley Police Department,3
980,Grand Island Town Police Department,3
981,Clear Creek County Sheriff,3
982,Grand County Sheriffs Office,3
983,Windsor Police Department,3
984,Pasquotank County Sheriff,3
985,Muskegon County Sheriff,3
986,Monrovia Police Department,3
987,Fulton County Sheriff,3
988,Murfreesboro Police Department,3
989,Martin County Sheriff's Office,3
990,Morehouse Parish Sheriff's Office,3
991,Grand Forks County Sheriff,3
992,Orleans Parish Sheriff's Department,3
993,Dallas County Sheriff's Department,3
994,Marysville Police Department,3
995,Greeley Police Department,3
996,Ottawa County Sheriff's Office,3
997,Mesquite Police Department NV,3
998,Floyd County Sheriff,3
999,Woburn Police Department,3
1000,Cold Spring Police Department,3
1001,"Franklin County Sheriff's Office, Pasco, Washington State",3
1002,Lenox Police Department,3
1003,Panama City Police Department,3
1004,Fayette County Sheriff's Office,3
1005,Clarkstown Police Department (NY),3
1006,Carthage Police Department,3
1007,Marion County Sheriff's Office,3
1008,Paoli Police Department,3
1009,Great Falls Police Dept.,3
1010,Ashe County Sheriff's Office,3
1011,Englewood Police Department,3
1012,Memphis International Airport Police  Department,3
1013,Coppell Police Department,3
1014,Farmington Hills Police Department,3
1015,Grand Junction Police Department,3
1016,Paradise Valley Police Department,3
1017,Ozark Police Department,3
1018,Manteca Police Department,3
1019,Grant County Sheriff's Office,3
1020,Oxford County Sheriff's Office,3
1021,Greece NY Police Department,3
1022,Lewiston Police Department,3
1023,Park City Police Department,3
1024,Lewiston Town Police Department,3
1025,Park County Sheriff's Office,3
1026,Whitman Police Department,3
1027,Farmington Police Department,3
1028,Alamosa County Sheriff,3
1029,Vermilion County Sheriff,3
1030,Mandan Police Department,3
1031,McDonough Police Department,3
1032,Muskogee Police Department,3
1033,Lorena Police Department,3
1034,Foster City Police Department,3
1035,North Miami Beach Police Department,3
1036,Chittenden County Sheriff's Department,3
1037,Annapolis Police Department,3
1038,Waterbury Police Department,3
1039,North Tonawanda City Police Department,3
1040,Washtenaw County Sheriff,3
1041,Christian County Sheriff MO,3
1042,Watkins Glen Village Police Department,3
1043,New Windsor Police Department,3
1044,Arapahoe County Sheriff,3
1045,Paulding County Sheriff's Office,3
1046,Oak Bluffs Police Department (Martha's Vineyard),3
1047,Madison County Sheriff,3
1048,Etowah County Sheriff's Office,3
1049,Missoula County Sheriff,3
1050,Yolo County Sheriff,3
1051,Cobb County Sheriff,3
1052,Fountain Valley Police Department,3
1053,Webster Police Department,3
1054,Wellesley Police Department,3
1055,Yellowstone County Sheriff's Office,3
1056,Covington Police Department,3
1057,Georgetown Police Department,3
1058,Norcross Police Department,3
1059,Yale University Police Department,3
1060,Weld County Sheriff,3
1061,Georgia Tech Police Department,3
1062,Yakima County Sheriff's Office,3
1063,Niagara Town Police Department,3
1064,Excelsior Springs Police Department,3
1065,Andover Police Department,3
1066,Wayne County Sheriff's Office,3
1067,Waukesha Police Department,3
1068,American Canyon Police Department,3
1069,Cheektowaga Police Department,3
1070,Colonie Police Department,3
1071,Cicero Town Police Department,3
1072,Orangetown Town Police Department,3
1073,Wahkiakum County Sheriff,3
1074,Livonia Police Department,3
1075,Waltham Police Department,3
1076,Yell County Sheriff's Department,3
1077,Livingston Parish Sheriff's Office,3
1078,Monmouth County Sheriff’s Office,3
1079,Central Marin Police Authority,3
1080,Goshen Town Police Department,3
1081,Onslow County Sheriff's Department,3
1082,Okeechobee County Sheriff's Office,3
1083,Monongalia County Sheriff's Office,3
1084,Visalia Police Department,3
1085,"Gadsden, AL Police Department",3
1086,Virginia Tech Police Department,3
1087,Nash County Sheriff,3
1088,Woodway Police Department,3
1089,Clinton County Sheriff,3
1090,Galveston Police Department,3
1091,Okanogan County Sheriff's Office,3
1092,Warren County Sheriff,3
1093,Collierville Police Department,3
1094,Londonderry Police Department,3
1095,Warner Robins Police Department,3
1096,Ypsilanti Police Department,3
1097,Clinton Police Department,3
1098,Odessa Police Department,3
1099,Essex Police Department,3
1100,Moberly Police Department,3
1101,Glynn County Sheriff's Department,3
1102,Okaloosa County Sheriff’s Office,3
1103,Walworth County Sheriffs Department,3
1104,Yuma County Sheriff,3
1105,Gogebic County Sheriff,3
1106,Logan City Police Department,3
1107,Yuma County Sheriff's Office,3
1108,Golden Beach Police Department,3
1109,Allentown Police Department,3
1110,Conway County Sheriff's Office,3
1111,Sodus Point Village Police Department,3
1112,League Police Department,3
1113,San Pablo Police Department,3
1114,Hobbs Police Department,3
1115,Town of Vienna Police Department,3
1116,"Bergen County Sheriff, NJ",3
1117,Cabarrus County Sheriff,3
1118,Kings Point Police Department,3
1119,Ramapo Town Police Department,3
1120,Santa Paula Police Department,3
1121,Santa Fe County Sheriff,3
1122,Randolph County Sheriff's Office,3
1123,Santa Clarita Police Department,3
1124,Red Hook Village Police Department,3
1125,St. Marys County Sheriff,3
1126,St. Regis Mohawk Tribal Police Department,3
1127,"Kettering, OH Police Department",3
1128,Hardee County Sheriff's Office,3
1129,Titusville Police Department,3
1130,Rehoboth Beach Police Department,3
1131,Rehoboth police department,3
1132,Sandwich Police Department,3
1133,Burr Ridge Police Department,3
1134,Tigard Police Department,3
1135,Tifton Police Department,3
1136,Ticonderoga Town Police Department,3
1137,Queen Anne's County Sheriff,3
1138,Putnam County Sheriff’s Department,3
1139,East Lansing Police Department,3
1140,Schoolcraft Police Department,3
1141,Sedgwick County Sheriff,3
1142,"Deland Police Department, Deland",3
1143,Hall County Sheriff,3
1144,Tukwila Police Department,3
1145,La Verne Police Department,3
1146,Holmes County Sheriff's Office,3
1147,"Calvert County Sheriff's Department, Prince Frederick",3
1148,"California State University, Fullerton - University Police",3
1149,Scott County Sheriff,3
1150,Banks County Sheriff's Office,3
1151,Caldwell County Sheriff's Office,3
1152,Hoke County Sheriff,3
1153,Calaveras County Sheriff,3
1154,Schenectady County Sheriff,3
1155,Knox County Sheriff,3
1156,St. Anthony Police Department,3
1157,Schaumburg Police Department,3
1158,Hamilton county sheriff's office,3
1159,East Hampton Village Police Department,3
1160,Putnam County Sheriff,3
1161,Saugerties Police Department,3
1162,Kirkland Police Department,3
1163,Bay Area Rapid Transit Police,3
1164,Dennis Police Department,3
1165,Sedgwick County Sheriff's Office,3
1166,Jefferson City Police Department,3
1167,Kalamazoo County Sheriff,3
1168,Roosevelt Sheriff's Department,3
1169,East Rutherford Police Department,3
1170,Suffolk University Police,3
1171,Easthampton Police Department,3
1172,Hemet Police Department,3
1173,Routt County Sheriff's Office,3
1174,Sullivan County Sheriff's Office,3
1175,Hempstead Village Police Department,3
1176,Broomfield County Sheriff,3
1177,Eastland County Sheriff's Office,3
1178,Easton Police Department,3
1179,Henderson County Sheriff,3
1180,Suwannee county sheriff's office,3
1181,Salem County Sheriff,3
1182,Bell Gardens Police Department,3
1183,Bronxville Police Department,3
1184,Bellbrook Police Department,3
1185,Surfside Police Department,3
1186,Bell Police Department,3
1187,Henry County Sheriff,3
1188,Saguache County Sheriff's Office,3
1189,Johnson County Sheriff,3
1190,Kalamazoo Department Of Public Safety,3
1191,"Department of Law and Public Safety, Division of Legislative Affairs",3
1192,Stoneham Police Department,3
1193,Edgecombe County Sheriff,3
1194,Menlo Park Police Department,3
1195,Burlingame Police Department,3
1196,Bay County Sheriff,3
1197,San Juan County Sheriff,3
1198,Sterling Heights Police Department,3
1199,Steuben County Sheriff's Office,3
1200,Beachwood Police,3
1201,Teton County Sheriff's Office,3
1202,Jefferson County Sheriff's Office,3
1203,Terrebonne Parish Sheriff's Office,3
1204,Teller County Sheriff,3
1205,Rockland County Sheriff,3
1206,Tehachapi Police Department,3
1207,Carroll County Sheriff's Office,3
1208,Beaufort County Sheriff's Office,3
1209,Hatfield Township Police Department,3
1210,Robeson County Sheriff,3
1211,Highland Park Police Department,3
1212,Haverstraw Town Police Department,3
1213,Rock Island County Sheriff,3
1214,Rockingham County Sheriff,3
1215,Highland Park Dept of Public Safety,3
1216,Port Dickinson Village Police Department,3
1217,Saint Charles County Sheriff,3
1218,Iredell County Sheriff,3
1219,Piscataway Police Department,3
1220,Piedmont Police Department,3
1221,Boone County Sheriff's Department,3
1222,Biloxi Police Department,3
1223,"Sheriff's Office, Augusta-Richmond County, GA",3
1224,Horry County Police Department,3
1225,Sheriff Department,3
1226,Guadalupe County Sheriff,3
1227,Avondale Estates Police Department,3
1228,Pinole Police Department,3
1229,Elko County Nevada Sheriff's Office,3
1230,"Lackawanna County, Pa Sheriff's Office",3
1231,Spokane Valley Police Department,3
1232,Pittsburg County Sheriff's Office,3
1233,Indian Creek Village Police Department,3
1234,Pittsburg Police Department,3
1235,Union County Sheriff's Office,3
1236,Ayer Police Department,3
1237,Sherburne County Sheriff,3
1238,Daytona Beach Police Department,3
1239,Azusa Police Department,3
1240,Shepherdstown Police Department,3
1241,Plantation Police Department,3
1242,Canyon County Sheriff's Office,3
1243,Cape Coral Police Department,3
1244,Shirley Ma Police Department,3
1245,Phoenixville Police Department,3
1246,Payson Police Department,3
1247,Peach County Sheriff's Office,3
1248,Dudley Police Department,3
1249,Somerset County Sheriff,3
1250,Dublin Police Department (OH),3
1251,Huntington Park Police Department,3
1252,Danville Police Department CA,3
1253,Carol Stream Police Department,3
1254,Blount County Sheriff,3
1255,Carlton County Sheriff,3
1256,University of Colorado-Boulder Police Department,3
1257,Perry County Sheriff's Office,3
1258,Sioux City Police Department,3
1259,University of Central Florida Police Department,3
1260,Lawrence County Sheriff's Office,3
1261,Davenport Police Department,3
1262,Lauderhill Police Department,3
1263,Hurst Police Department,3
1264,University Park Police Department,3
1265,Phillips County Sheriff's Office,3
1266,Dracut Police Department,3
1267,Lancaster County Sheriff's Department,3
1268,Pitt County Sheriff,3
1269,Doral Police Department,3
1270,Campbell Police Department,3
1271,Police Board,3
1272,Tuscaloosa County Sheriff's Office,3
1273,Ingham County Sheriff,3
1274,Dothan Police Department,3
1275,Spotsylvania County Sheriff,3
1276,Bozeman Police Department,3
1277,Sheboygan Falls Police Department,3
1278,Tuolumne County Sheriff,3
1279,Turlock Police Department,3
1280,Port Authority Police Department,3
1281,Homewood Police Department,3
1282,Inyo County Sheriff,3
1283,Boynton Beach Police Department,3
1284,Gulfport Police Department,3
1285,Lafayette County Sheriff's Office,3
1286,Doylestown Township Police Department,2
1287,Dixie County Sheriff's Office,2
1288,Hickory Hills Police Department,2
1289,Fort Walton Beach Police Department,2
1290,Fannin County Sheriff's Office,2
1291,Dryden Police Department,2
1292,Highland County Sheriff,2
1293,Friendship Town Police Department,2
1294,Iberville Parish Sheriff's Office,2
1295,Melrose Police Department,2
1296,Dilley Police Department,2
1297,Highland Falls Police Department,2
1298,East Hampton Town Police Department,2
1299,Dodge City Police Department,2
1300,McLean County Sheriff,2
1301,Foley Police Department,2
1302,Maricopa Police Department,2
1303,Memorial Villages Police Department,2
1304,Dillard Police Department,2
1305,Herkimer Police Department,2
1306,Flower Mound Police Department,2
1307,"Desoto County Sheriff's Office, Desoto",2
1308,Johns Creek Police Department,2
1309,Desert Hot Springs Police Department,2
1310,Dolores County Sheriff,2
1311,Huntingdon County Sheriff,2
1312,Irondale Police,2
1313,Huerfano County Sheriffs Office,2
1314,Corfu Village Police Department,2
1315,Irondequoit Police Department,2
1316,Homestead Police Department,2
1317,McIntosh County Sheriffs Office,2
1318,Manhattan Police Department,2
1319,Manheim Borough Police Department,2
1320,Florissant Police,2
1321,Jefferson Police Department,2
1322,Falmouth Police Department,2
1323,Jefferson Parish Sheriff's Office,2
1324,East Greenbush Police Department,2
1325,Fortuna Police Department,2
1326,Howard County Sheriff's Office,2
1327,Fishkill Police Department,2
1328,Jefferson Davis Parish Sheriff's Office,2
1329,Dunwoody Police Department,2
1330,Holly Springs Police Department,2
1331,East Brandywine Township Police Department,2
1332,Franklin County sheriff,2
1333,Highlands Town Police Department,2
1334,Forsyth County Sheriff,2
1335,East Palo Alto Police Department,2
1336,Hinds County Sheriff,2
1337,Maybrook Village Police Department,2
1338,Hogansville Police Department,2
1339,Martinez Police Department,2
1340,Jacksonville Beach Police Department,2
1341,Martinsburg Police Department,2
1342,Jackson County Sheriffs Office,2
1343,Jackson Parish Sheriff's Office,2
1344,Conejos County Sheriff,2
1345,Hinsdale County Sheriffs Office,2
1346,Conroe Police Department,2
1347,Farmers Branch Police Department,2
1348,Mason County Sheriff's Office,2
1349,Connellsville Police Department,2
1350,Franklinville Village Police Department,2
1351,Conneaut Police Department,2
1352,East Aurora/Town of Aurora Police Department,2
1353,Hinsdale Police Department,2
1354,Colorado Division Homeland Security And Emergency Management Department Of Public Safety,2
1355,Hiram Police Department,2
1356,Indian River Shores Public Safety Department,2
1357,Meadville Police Department,2
1358,Dougherty County Sheriff,2
1359,Conway Police Department,2
1360,Dorchester County Sheriff,2
1361,Hoover Police Department,2
1362,Mayor's Office of Public Safety,2
1363,Massachusetts Institute of Technology Police,2
1364,Fremont County Sheriff,2
1365,Holley Police Department,2
1366,Marina Police Department,2
1367,Hill Country Village Police Department,2
1368,Medley Police Department,2
1369,Floral Park Village Police Department,2
1370,McMinn County Sheriff,2
1371,Fallsburg Police Department,2
1372,Independent Police Department,2
1373,Cookeville Police Department,2
1374,Eagle County Sheriff,2
1375,Freetown Police Department,2
1376,Hillsborough Police Department,2
1377,Dighton Police Department,2
1378,Flagstaff Police Department,2
1379,Hillsdale County Sheriff's Office,2
1380,Hopkinsville Police Department,2
1381,Marshall County Sheriff's Office,2
1382,McAlester Police Department,2
1383,Fentress County Sheriff,2
1384,Dexter Village Police Department,2
1385,Doraville Police Department,2
1386,Holden Police Department,2
1387,Greene County Sheriff's Office,2
1388,Manchester Center Police Department,2
1389,Haines City Police Department,2
1390,"Goleta, CA Police Department",2
1391,Lake Charles Police Department,2
1392,Livingston County Sheriff's Office,2
1393,Livingston County Sheriff,2
1394,Crump Police Department,2
1395,Lake Forest Police Park Department,2
1396,Gordon County Sheriff's Office,2
1397,Lake Oswego Police Department,2
1398,Lake Placid Police Department,2
1399,Deer Park Police Department,2
1400,Cuba Town Police Department,2
1401,Lake Villa Police Department,2
1402,Hagerstown City Police Department,2
1403,Elbert County Sheriff,2
1404,Elizabeth Police Department,2
1405,Lakeville Police Department,2
1406,Gunnison County Sheriffs Office,2
1407,Laguna Beach Police Department,2
1408,Dekalb County Sheriff's Office,2
1409,Graham Police Department,2
1410,Crowley County Sheriff,2
1411,Delaware Police (Ohio),2
1412,Knox County Sheriff's Office,2
1413,Hamilton Township North Police Department,2
1414,Kosciusko County Sheriff's Department,2
1415,Delaware County Sheriff's Department,2
1416,Delaware County Sheriff,2
1417,La Palma Police Department,2
1418,Delano Police Department,2
1419,La Plata County Sheriffs Office,2
1420,Etna Borough Police Department,2
1421,La Plata Police Department,2
1422,Hamburg Town Police Department,2
1423,Hamblen County Sheriff,2
1424,Loganville Police Department,2
1425,La Salle County Sheriff,2
1426,El Segundo Police Department,2
1427,Lloyd Town Police Department,2
1428,Graham County Sheriff's Department,2
1429,Lancaster Bureau of Police,2
1430,Kit Carson County Sheriffs Office,2
1431,Enumclaw Police Department,2
1432,Elmira Heights Village Police Department,2
1433,Davidson County Sheriff,2
1434,Enid Police Department,2
1435,"Elmwood Park, NJ Police Department",2
1436,Grayson County Sheriff's Office,2
1437,Lawrenceville Police Department,2
1438,Darien Police Department,2
1439,Lea County Sheriff's Department,2
1440,Greensburg Police Department,2
1441,"Lebanon County, Pa Sheriff's",2
1442,Lebanon Police Department,2
1443,Lehi City Police Department,2
1444,"Lee's Summit Police Department, Lee's Summit",2
1445,Leelanau County Sheriff's Office,2
1446,Dansville Village Police Department,2
1447,Greenburgh Police Department,2
1448,Greene Village Police Department,2
1449,Gresham Police Department Gresham Oregon,2
1450,Grants Pass Department of Public Safety,2
1451,Lancaster Town Police Department,2
1452,Elmhurst Police Department,2
1453,Gulf County Sheriff's Office,2
1454,Gulf Breeze Police Department,2
1455,Cumming Police Department,2
1456,Currituck County Sheriff's Office,2
1457,Lincoln Parish Sheriff's Office,2
1458,Cutler Bay Police Department,2
1459,Liberty County Sheriff's Office,2
1460,Ellenville Village Police Department,2
1461,Ellicottville Town Police Department,2
1462,Lexington County Sheriff,2
1463,Grosse Ile Police,2
1464,Griffith Police Department (IN),2
1465,Davis Police Department,2
1466,Las Animas County Sheriff's Office,2
1467,Ellis County Sheriff's Department,2
1468,Grant County Sheriff,2
1469,Lewisboro Police Department,2
1470,Long County Sheriff's Office,2
1471,Longboat Key Police Department,2
1472,Deschutes County Sheriff,2
1473,Garfield Heights Police Department,2
1474,Kanawha County Sheriff,2
1475,Kane County Sheriff,2
1476,Gaston County Police Department,2
1477,Madera Police Department,2
1478,"Department of Law and Public Safety, Division of Consumer Affairs",2
1479,Macon County Sheriff's Office,2
1480,Kemper County Sheriff,2
1481,Macomb County Sheriff,2
1482,Costilla County Sheriff,2
1483,Fairfax County Department Of Public Safety Communications,2
1484,MARTA Police Department,2
1485,Harrison County Sheriff's Office,2
1486,Kennett Township Police Department,2
1487,Lyon County Sheriff’s Department,2
1488,Lynnfield Police Department,2
1489,Kenosha County Sheriff,2
1490,Geddes Town Police Department,2
1491,Kalispell Police Department,2
1492,Hawkins County Sheriff,2
1493,Geneseo Village Police Department,2
1494,Gardner Police Department,2
1495,Johnston County Sheriff's Office,2
1496,Gallatin County Sheriff's Office,2
1497,Hendry County Sheriff,2
1498,Mamaroneck Town Police Department,2
1499,Fairview Police Fairview Oregon,2
1500,Cornwall-on-Hudson Police Department,2
1501,Derry Police Department,2
1502,Gallup Police Department,2
1503,Derby Police Department,2
1504,Jonesboro Police Department,2
1505,Fairport Village Police Department,2
1506,Coronado Police Department,2
1507,Garden City Police Department,2
1508,Fairmont Police Department,2
1509,Heidelberg Police Department,2
1510,Head of the Harbor Village Police Department,2
1511,Haywood County Sheriff's Office,2
1512,Lynchburg Police Department,2
1513,Denton County Sheriff,2
1514,Kirkwood Police Department,2
1515,Kinder Police Department,2
1516,El Cerrito Police Department,2
1517,Crawford Police Department,2
1518,Gilchrist County Sheriff's Office,2
1519,Kingsburg Police Department,2
1520,Giles County Sheriff's Office,2
1521,Gilmer County Sheriff's Office,2
1522,Kingston Police Department,2
1523,Kiowa County Sheriffs Office,2
1524,Gilpin County Sheriffs Office,2
1525,Glades County Sheriff's Office,2
1526,Los Altos Police Department,2
1527,Los Alamitos Police Department,2
1528,Evangeline Parish Sheriff's Office,2
1529,Lonoke County Sheriff'S Office,2
1530,Longview Police Department,2
1531,Longmont Police Department,2
1532,Eureka County Nevada Sheriff's Office,2
1533,King George County Sheriff's Office,2
1534,Hancock Village Police Department,2
1535,Geneva Police Department,2
1536,Delta County Sheriff,2
1537,Evergreen Park Police Department,2
1538,Kent County Sheriff's Office,2
1539,Harlingen Police Department,2
1540,Kentwood Police Department,2
1541,Harford County Sheriff,2
1542,"Georgia Institute of Technology Police Department, Office of Emergency Preparedness",2
1543,Lubbock County Sheriff's Office,2
1544,Edison Police Department,2
1545,Germantown Police Department,2
1546,Hanson Police Department,2
1547,Gettysburg Police Department,2
1548,Crawford County Sheriff's Office,2
1549,Key West Police Department,2
1550,Giddings Police Department,2
1551,Keyport Police Department,2
1552,Loves Park Police Department,2
1553,Loveland Police Department,2
1554,Corvallis Police Department,2
1555,Florida Village Police Department,2
1556,Menomonee Falls Police Department,2
1557,Rio Rancho Police Department,2
1558,Rio Blanco County Sheriff's Office,2
1559,Burke County Sheriff's Office,2
1560,Burleigh County Sheriff's Department,2
1561,Ridgeland Police Department,2
1562,Ridgecrest Police Department,2
1563,University of Cincinnati Police Department,2
1564,Richmond City Sheriff's Office,2
1565,Richland Parish Sheriff's Office,2
1566,Burlington County Sheriff,2
1567,Richland County Sheriff's Department,2
1568,Augusta Police Department,2
1569,Rensselaer County Sheriff,2
1570,Rensselaer City Police Department,2
1571,Red River Parish Sheriff's Office,2
1572,University of North Carolina at Charlotte Police & Public Safety,2
1573,University of North Carolina at Greensboro Police Department,2
1574,Rankin County Sheriff's Office,2
1575,Atlantic County Sheriff's Office,2
1576,Upper Darby Police Department,2
1577,Byron Police Department,2
1578,Upson County Sheriff's Department,2
1579,Puyallup Police Department,2
1580,Putnam County Sheriff's Office,2
1581,Cache County Sheriff,2
1582,Utah County Sheriff's Office,2
1583,Pueblo Police Department,2
1584,Cairo Town Police Department,2
1585,Rio Grande County Sheriff's Office,2
1586,Ripon Police Department,2
1587,Salina Police Department,2
1588,Buncombe County Sheriff,2
1589,Salamanca Police Department,2
1590,Saint Joseph County Sheriff,2
1591,Saint Albans Police Department,2
1592,Brockport Police Department,2
1593,Saginaw County Sheriff's Office,2
1594,Broken Arrow Police Department,2
1595,Rye City Police Department,2
1596,"Brooklyn Center, Mn Police",2
1597,Rutgers University Police Department,2
1598,Russell County Sheriff's Office,2
1599,Union county sheriff's office,2
1600,Uniontown Police Department,2
1601,University City Police Department,2
1602,Brunswick County Sheriff,2
1603,Brunswick Police Department,2
1604,University Of Connecticut Police Department,2
1605,Rocky Mount Police Department,2
1606,Buckeye Police Department,2
1607,Buda Police Department,2
1608,Rockdale County Sheriff,2
1609,Buena Vista Police Department,2
1610,Aventura Police Department,2
1611,University Of Pennsylvania Police Department,2
1612,Roanoke County Police,2
1613,Riverside County Sheriffs Department,2
1614,University of California Santa Barbara Police Department,2
1615,University of Chicago Police Department,2
1616,Prowers County Sheriff,2
1617,Provincetown Police Department,2
1618,Athol Police Department,2
1619,Atherton Police Department,2
1620,Waller County Sheriff's Office,2
1621,Platte County Missouri Sheriff’s Office,2
1622,Arlington County Sheriff's Department,2
1623,Wallowa County Sheriff,2
1624,Plant City Police Department,2
1625,Walton County Sheriff,2
1626,Canby Police Department,2
1627,Candor Village Police Department,2
1628,Pine Plains Police Department,2
1629,Canton Public Safety,2
1630,Piermont Village Police Department,2
1631,Wappingers Falls Village Police Department,2
1632,Ardsley Police Department,2
1633,Cape Girardeau Police Department,2
1634,Archuleta County Sheriff,2
1635,Ware Police Department,2
1636,Philmont Village Police Department,2
1637,Philadelphia Village Police Department,2
1638,Phelps Village Police Department,2
1639,Person County Sheriff's Office,2
1640,Perrysburg Police Department,2
1641,Carlisle Borough Police Department,2
1642,Carlsbad Police Department,2
1643,Pensacola Police Department,2
1644,Antwerp Village Police Department,2
1645,Carmel Town Police Department,2
1646,Carnegie Police Department,2
1647,Pleasant Hill Police Department,2
1648,Suffern Village Police Department,2
1649,Campbell County Sheriff,2
1650,Pope County Sheriff's Office,2
1651,Prince George's County Sheriff Department,2
1652,Caldwell Parish Sheriff's Office,2
1653,Van Wert County Sheriff,2
1654,Athens-Clarke Police Department,2
1655,Vanderburgh County Sheriff,2
1656,Pound Ridge Town Police Department,2
1657,Athens Village Police Department,2
1658,Porterdale Police Department,2
1659,Athens Police Department,2
1660,Port Jervis City Police Department,2
1661,Port Byron Village Police Department,2
1662,Camden County Police Department,2
1663,Vermilion Parish Sheriff's Office,2
1664,Virginia Commonwealth University Police Department,2
1665,Camden County Sheriff,2
1666,Camden County Sheriff's Office,2
1667,Polk County Sheriff's Office,2
1668,Camden Village Police Department,2
1669,Verona Police Department,2
1670,Cameron County Sheriff Department,2
1671,Vigo County Sheriff,2
1672,Vilas County Sheriff's Office,2
1673,Police Department Borough of Cliffside Park,2
1674,"Police Department - Beverly, MA",2
1675,Police - Manchester-by-the-sea,2
1676,Ascension Parish Sheriffs Office,2
1677,Salem State University Police,2
1678,Saline County Sheriff's Office,2
1679,Pelham Village Police Department,2
1680,Sweetwater Police Department,2
1681,Berlin Police Department,2
1682,Bedford Police Department (tx),2
1683,Taft Police Department,2
1684,Bedford Police Department,2
1685,Talladega County Sheriff's Office,2
1686,Bernardsville Police Department,2
1687,Taney County Sheriff,2
1688,Berwyn Police Department,2
1689,Tangipahoa Parish Sheriff's Office,2
1690,St Cloud Police Department,2
1691,Spartanburg County Sheriff,2
1692,Beauregard Parish Sheriffs Office,2
1693,Spalding County Sheriff,2
1694,Biddeford Police Department,2
1695,Bienville Parish Sheriff's Office,2
1696,Tazewell County Sheriff,2
1697,Tenafly Police Department,2
1698,Billings Police Department,2
1699,Southern Crescent College Police Department,2
1700,South Windsor Police Department,2
1701,Tensas Parish Sheriff's Office,2
1702,Terre Haute Police Department,2
1703,South Fayette Township Police Department,2
1704,South Burlington Police Department,2
1705,Thomasville Police Department GA,2
1706,Blairsville Police Department,2
1707,Batte Creek Police Department,2
1708,St Lucie County Sheriff's Office,2
1709,Sweetwater County Sheriff,2
1710,Sampson County Sheriff,2
1711,St. Ann Police Department,2
1712,Sugar Land Police Department,2
1713,Belmont Village Police Department,2
1714,Storm Lake Police Department,2
1715,Storey County Sheriff's Office,2
1716,Sullivan County Sheriff,2
1717,Belvedere Police Department,2
1718,Summit Count Sheriff,2
1719,Sumner County Sheriff's Office,2
1720,Stockton Unified School District Police Department,2
1721,Stockport Police Department,2
1722,Belle Meade Police Department,2
1723,Sunny Isles Beach Police Department,2
1724,Stevens County Sheriff's Office,2
1725,Stephenson County Sheriff,2
1726,Bensalem Township Police Department,2
1727,Bent County Sheriff,2
1728,Benton County Sheriff,2
1729,Surry County Sheriff's Office,2
1730,Sutton Police Department,2
1731,Berkeley County Sheriff,2
1732,Swampscott Police Department,2
1733,St. George Police Department,2
1734,St. Croix County Sheriff's Office,2
1735,Swansea Police Department,2
1736,St. Cloud Police Department,2
1737,St. Clair Sheriff's Department,2
1738,St. Clair County Sheriff's Office,2
1739,Somers Town Police Department,2
1740,Batavia City Police Department,2
1741,Bloomingdale Police Department (IL),2
1742,Smith County Sheriff's Office,2
1743,Trussville Police Department,2
1744,"Baltimore County, Md Sheriff's Office",2
1745,Ballwin Police Department,2
1746,Ballston Spa Village Police Department,2
1747,Ball Ground Police Department,2
1748,Scott County Sheriff's Office,2
1749,Branson Police Department,2
1750,Brant Town Police Department,2
1751,Meridian Police Department,2
1752,Brawley Police Department,2
1753,Tuxedo Park Village Police Department,2
1754,Brea Police Department,2
1755,Brevard County Sheriff's Office,2
1756,Saugus Police Department,2
1757,Saratoga Springs Police Department,2
1758,Saratoga Springs City Police Department,2
1759,Tuxedo Police Department,2
1760,Sangamon County Sheriff’s Office,2
1761,Sangamon County Sheriff's Office,2
1762,Brewster Village Police Department,2
1763,Baker County sheriff's office,2
